Difficulty,Trial,Solver,Time(ms),Steps,NodesExpanded,MemoryUsed(bytes),Seed,BoardState
12,2,A* Search,12,12,54,27907392,1746611422080,"[1, 10, 2, 4, 5, 3, 8, 0, 9, 7, 6, 12, 13, 14, 11, 15]"
12,3,Greedy Best-First Search,15,10,26,27559816,1746611422109,"[1, 2, 3, 4, 5, 6, 7, 0, 13, 9, 11, 8, 10, 14, 15, 12]"
12,3,A* Search,16,10,48,27899936,1746611422109,"[1, 2, 3, 4, 5, 6, 7, 0, 13, 9, 11, 8, 10, 14, 15, 12]"
12,4,Greedy Best-First Search,13,12,32,27218960,1746611422145,"[1, 2, 3, 4, 5, 0, 6, 8, 13, 9, 7, 11, 10, 14, 15, 12]"
12,4,A* Search,11,12,110,27982392,1746611422145,"[1, 2, 3, 4, 5, 0, 6, 8, 13, 9, 7, 11, 10, 14, 15, 12]"
12,5,Greedy Best-First Search,14,12,46,27900864,1746611422174,"[1, 2, 3, 4, 6, 14, 7, 8, 5, 10, 11, 12, 9, 13, 15, 0]"
12,5,A* Search,14,12,84,27972368,1746611422174,"[1, 2, 3, 4, 6, 14, 7, 8, 5, 10, 11, 12, 9, 13, 15, 0]"
13,1,Greedy Best-First Search,23,17,82,28431872,1746611422206,"[1, 2, 3, 4, 10, 9, 6, 8, 5, 0, 7, 15, 13, 14, 12, 11]"
13,1,A* Search,23,13,69,28443616,1746611422206,"[1, 2, 3, 4, 10, 9, 6, 8, 5, 0, 7, 15, 13, 14, 12, 11]"
13,2,Greedy Best-First Search,23,19,86,28288304,1746611422257,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 14, 11, 15, 10, 0, 12]"
13,2,A* Search,23,11,53,28258280,1746611422257,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 14, 11, 15, 10, 0, 12]"
13,3,Greedy Best-First Search,25,11,30,28231336,1746611422308,"[1, 2, 3, 4, 6, 7, 10, 8, 5, 9, 15, 0, 13, 14, 12, 11]"
13,3,A* Search,24,11,30,28386320,1746611422308,"[1, 2, 3, 4, 6, 7, 10, 8, 5, 9, 15, 0, 13, 14, 12, 11]"
13,4,Greedy Best-First Search,25,37,478,28776256,1746611422361,"[1, 2, 8, 0, 5, 3, 4, 11, 9, 6, 10, 7, 13, 14, 15, 12]"
13,4,A* Search,18,13,40,27308640,1746611422361,"[1, 2, 8, 0, 5, 3, 4, 11, 9, 6, 10, 7, 13, 14, 15, 12]"
13,5,Greedy Best-First Search,14,21,108,27613744,1746611422409,"[1, 2, 7, 3, 5, 6, 0, 4, 13, 9, 11, 8, 14, 15, 10, 12]"
13,5,A* Search,11,13,74,27972608,1746611422409,"[1, 2, 7, 3, 5, 6, 0, 4, 13, 9, 11, 8, 14, 15, 10, 12]"
14,1,Greedy Best-First Search,12,14,32,27898112,1746611422440,"[1, 7, 2, 3, 6, 0, 8, 4, 5, 14, 10, 12, 9, 13, 11, 15]"
14,1,A* Search,10,14,48,27901840,1746611422440,"[1, 7, 2, 3, 6, 0, 8, 4, 5, 14, 10, 12, 9, 13, 11, 15]"
14,2,Greedy Best-First Search,11,14,37,27906624,1746611422465,"[1, 2, 3, 4, 5, 6, 8, 11, 13, 15, 9, 7, 14, 0, 10, 12]"
14,2,A* Search,11,14,63,27218960,1746611422465,"[1, 2, 3, 4, 5, 6, 8, 11, 13, 15, 9, 7, 14, 0, 10, 12]"
14,3,Greedy Best-First Search,24,14,603,28852480,1746611422492,"[1, 7, 2, 4, 5, 6, 3, 8, 9, 10, 0, 15, 13, 14, 12, 11]"
14,3,A* Search,24,14,196,28536424,1746611422492,"[1, 7, 2, 4, 5, 6, 3, 8, 9, 10, 0, 15, 13, 14, 12, 11]"
14,4,Greedy Best-First Search,23,14,32,28277496,1746611422544,"[1, 6, 2, 4, 5, 10, 3, 8, 0, 14, 7, 15, 9, 13, 12, 11]"
14,4,A* Search,24,14,42,28373184,1746611422544,"[1, 6, 2, 4, 5, 10, 3, 8, 0, 14, 7, 15, 9, 13, 12, 11]"
14,5,Greedy Best-First Search,25,16,77,28297536,1746611422597,"[5, 1, 3, 4, 2, 0, 6, 8, 13, 9, 7, 11, 14, 15, 10, 12]"
14,5,A* Search,31,14,61,28297184,1746611422597,"[5, 1, 3, 4, 2, 0, 6, 8, 13, 9, 7, 11, 14, 15, 10, 12]"
15,1,Greedy Best-First Search,29,23,223,28534152,1746611422657,"[1, 0, 4, 11, 5, 2, 6, 7, 9, 10, 3, 8, 13, 14, 15, 12]"
15,1,A* Search,29,15,190,28479480,1746611422657,"[1, 0, 4, 11, 5, 2, 6, 7, 9, 10, 3, 8, 13, 14, 15, 12]"
15,2,Greedy Best-First Search,24,15,35,28202176,1746611422720,"[1, 7, 2, 3, 6, 8, 0, 4, 5, 14, 10, 12, 9, 13, 11, 15]"
15,2,A* Search,24,15,51,28284152,1746611422720,"[1, 7, 2, 3, 6, 8, 0, 4, 5, 14, 10, 12, 9, 13, 11, 15]"
15,3,Greedy Best-First Search,23,13,53,28385864,1746611422772,"[1, 7, 2, 4, 6, 9, 3, 8, 5, 10, 11, 0, 13, 14, 15, 12]"
15,3,A* Search,25,13,66,28384808,1746611422772,"[1, 7, 2, 4, 6, 9, 3, 8, 5, 10, 11, 0, 13, 14, 15, 12]"
15,4,Greedy Best-First Search,25,15,47,28297040,1746611422826,"[1, 3, 4, 8, 5, 10, 2, 6, 9, 7, 12, 15, 13, 14, 0, 11]"
15,4,A* Search,15,15,45,27296744,1746611422826,"[1, 3, 4, 8, 5, 10, 2, 6, 9, 7, 12, 15, 13, 14, 0, 11]"
15,5,Greedy Best-First Search,25,3,8,28334776,1746611422870,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 0, 13, 14, 11, 15]"
15,5,A* Search,18,3,8,27358304,1746611422870,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 0, 13, 14, 11, 15]"
16,1,Greedy Best-First Search,16,64,3227,30266600,1746611422917,"[2, 4, 0, 8, 1, 5, 3, 11, 9, 6, 15, 7, 13, 10, 14, 12]"
16,1,A* Search,13,16,46,27550056,1746611422917,"[2, 4, 0, 8, 1, 5, 3, 11, 9, 6, 15, 7, 13, 10, 14, 12]"
16,2,Greedy Best-First Search,12,18,86,27299960,1746611422951,"[5, 1, 3, 4, 2, 6, 8, 11, 9, 15, 0, 7, 13, 10, 14, 12]"
16,2,A* Search,12,16,192,27722504,1746611422951,"[5, 1, 3, 4, 2, 6, 8, 11, 9, 15, 0, 7, 13, 10, 14, 12]"
16,3,Greedy Best-First Search,13,16,57,27902064,1746611422980,"[1, 8, 7, 3, 6, 0, 2, 4, 5, 9, 10, 12, 13, 14, 11, 15]"
16,3,A* Search,10,16,183,27977344,1746611422980,"[1, 8, 7, 3, 6, 0, 2, 4, 5, 9, 10, 12, 13, 14, 11, 15]"
16,4,Greedy Best-First Search,13,16,39,27564192,1746611423007,"[1, 2, 4, 8, 5, 7, 3, 11, 0, 9, 14, 15, 13, 6, 10, 12]"
16,4,A* Search,11,16,58,27905952,1746611423007,"[1, 2, 4, 8, 5, 7, 3, 11, 0, 9, 14, 15, 13, 6, 10, 12]"
